Facility_Id,Facility_Name,City,State,Zip Code,Address,County,Latitude,Longitude,Industry_Type,Total
1002408,AG PROCESSING INC-SHELDON,SHELDON,IA,51201,804 2ND AVE,OBRIEN,43.18,-95.86,Other,25410.2
1010983,Marshall County Sanitary Landfill,Marshalltown,IA,50158,2313 Marshalltown Blvd,MARSHALL COUNTY,42.03,-92.98,Waste,25801
1011694,POET DSM Project Liberty LLC,Emmetsburg,IA,50536,3848 470th Ave,PALO ALTO COUNTY,43.09,-94.66,Other,26429.95
1006211,"Potters Industries, Inc. - Muscatine, IA",Muscatine,IA,52761,4907 55th Ave W Progress Park,MUSCATINE COUNTY,41.37,-91.11,Minerals,26882.45
1006154,Waterloo Compressor Station,Waterloo,IA,50701,1508 East Schrock Road,BLACK HAWK,42.4,-92.33,Petroleum and Natural Gas Systems,27064.24
1003812,IOWA CITY SANITARY LANDFILL,IOWA CITY,IA,52240,3900 HEBL AVE SW,JOHNSON,41.65,-91.63,Waste,27540.85
1001772,QUAKER MFG LLC,CEDAR RAPIDS,IA,52401,418 2ND STREET NORTHEAST,LINN COUNTY,41.98,-91.67,Other,27564.1
1003577,GERDAU AMERISTEEL US INC,WILTON,IA,52778,1500 WEST 3RD STREET,MUSCATINE,41.59,-91.04,Metals,27812.97
1006540,TITAN TIRE CORP,DES MOINES,IA,50317,2345 EAST MARKET STREET,POLK COUNTY,41.58,-93.57,Other,27893.02
1001924,Tyson Fresh Meats,STORM LAKE,IA,50588,1009 RICHLAND,BUENA VISTA,42.64,-95.19,Other,28559.39
1002792,USDA-NATIONAL ANIMAL DISEASE CENTER,AMES,IA,50010,1920 DAYTON AVE,STORY,42.05,-93.58,Other,29466.37
1011952,Georgia-Pacific Gypsum LLC - Fort Dodge,Fort Dodge,IA,50501,2374 Mill Road,WEBSTER COUNTY,42.48,-94.15,Minerals,30165.34
1003061,Cargill Incorporated,CEDAR RAPIDS,IA,52402,411 6TH ST. N.E.,LINN,41.98,-91.67,Other,31188.03
1006036,CARROLL COUNTY SOLID WASTE MANAGEMENT COMMISSION,CARROLL,IA,51401,19111 KITTYHAWK AVE,CARROLL COUNTY,42.08,-94.9,Waste,31253.3
1001912,"TYSON FRESH MEATS, INC. - WATERLOO",WATERLOO,IA,50703,501 NORTH ELK RUN ROAD,BLACK HAWK,42.51,-92.26,Other,31904.96
1006474,GELITA USA,Sergeant Bluff,IA,51054,2445 Port Neal Industrial Road,WOODBURY COUNTY,42.35,-96.35,Other,32147.13
1004926,ANR Pipeline Birmingham CS,BIRMINGHAM,IA,52535,2795 LOCUST AVE,VAN BUREN,40.9,-91.97,Petroleum and Natural Gas Systems,32178.4
1002691,SOUTH CENTRAL IOWA SOLID WASTE AGENCY SCISWA,TRACY,IA,50256,1736 HIGHWAY T17,MARION,41.28,-92.88,Waste,34545.2
1002599,CLINTON COUNTY SANITARY LANDFILL (EAST),CLINTON,IA,52732,4292 220TH ST,CLINTON,41.86,-90.26,Waste,34622.4
1000382,WINNESHIEK COUNTY SANITARY LANDFILL,DECORAH,IA,52101,2000 140TH AVE,WINNESHIEK,43.23,-91.67,Waste,36832.5
1002609,OTTUMWA / WAPELLO COUNTY SANITARY LANDFILL,OTTUMWA,IA,52501,13277 165TH AVENUE,WAPELLO,41.08,-92.48,Waste,37029.3
1007673,CENTRAL DISPOSAL SYSTEMS INC,LAKE MILLS,IA,50450,21265 430TH ST,WINNEBAGO COUNTY,43.39,-93.57,Waste,39432.09
